algorithm,fmeasure,gmean,predict_time
naive_bayes,0.8801755982142521,0.9548422199832378,1.891958236694336
nega,0.8693970763650652,0.9755461609221733,3.85563325881958
svm,0.8250765795504298,0.8560140868179498,2.065466046333313
decision_tree,0.7950788735686207,0.8387548081568037,0.16755199432373047
knn,0.6538776545253303,0.703315757184611,1.8231136798858643
neural_network,0.03638470931556181,0.0,2.126330018043518
